Day,Hour of day,Latitude,Longitude,Ne/cm-3,O+,N+,hmF2,foF2,Tec
2023-05-03,4:30,37.5402,137.3053,332098,969,27,303.3,11.456,14.87
2023-05-03,04:45,37.5402,137.3053,330146,969,28,302.8,11.447,14.76
2023-05-03,5:00,37.5402,137.3053,327186,968,28,302.0,11.43,14.69
2023-05-03,5:20,37.5402,137.3053,323399,967,29,301.0,11.407,14.65
2023-05-03,5:30,37.5402,137.3053,318961,967,30,299.9,11.379,14.53
2023-05-03,5:45,37.5402,137.3053,314043,966,30,298.6,11.345,14.51
2023-05-03,06:00,37.5402,137.3053,308797,966,31,297.2,11.306,14.48
2023-05-03,06:20,37.5402,137.3053,303356,965,31,295.9,11.26,14.44
2023-05-03,06:30,37.5402,137.3053,297833,965,31,294.6,11.208,14.36
2023-05-03,06:45,37.5402,137.3053,292319,965,32,293.3,11.146,14.24
2023-05-03,07:00,37.5402,137.3053,286894,964,32,292.2,11.075,14.06
2023-05-03,07:20,37.5402,137.3053,281627,964,32,291.3,10.994,13.81
2023-05-03,07:30,37.5402,137.3053,276576,964,32,290.6,10.901,13.48
2023-05-03,07:45,37.5402,137.3053,271804,964,32,290.1,10.796,13.07
2023-05-03,08:00,37.5402,137.3053,267374,964,32,290.0,10.681,12.58
2023-05-03,08:20,37.5402,137.3053,263349,964,32,290.1,10.555,12.02
2023-05-03,08:30,37.5402,137.3053,259803,964,31,290.6,10.421,11.38
2023-05-03,08:45,37.5402,137.3053,256816,964,31,291.4,10.281,10.7
2023-05-03,09:00,37.5402,137.3053,254475,964,31,292.5,10.138,9.97
2023-05-03,09:20,37.5402,137.3053,252872,964,31,294.0,9.996,9.21
2023-05-03,09:30,37.5402,137.3053,252096,964,30,295.9,9.857,8.45
2023-05-03,09:45,37.5402,137.3053,252246,964,30,298.0,9.726,7.71
2023-05-03,10:00,37.5402,137.3053,253402,963,30,300.5,9.604,7.01
2023-05-03,10:20,37.5402,137.3053,255638,963,30,303.2,9.494,6.34
2023-05-03,10:30,37.5402,137.3053,258999,962,30,306.2,9.399,5.75
2023-05-03,10:45,37.5402,137.3053,263495,961,31,309.4,9.317,5.16
2023-05-03,11:00,37.5402,137.3053,269100,960,31,312.8,9.249,4.77
2023-05-03,11:20,37.5402,137.3053,275735,959,31,316.3,9.194,4.37
2023-05-03,11:30,37.5402,137.3053,283265,957,32,319.9,9.149,4.02
2023-05-03,11:45,37.5402,137.3053,291504,956,33,323.5,9.111,3.7
2023-05-03,12:00,37.5402,137.3053,300210,955,34,327.2,9.079,3.42
2023-05-03,12:20,37.5402,137.3053,309110,953,34,330.8,9.049,3.16
2023-05-03,12:30,37.5402,137.3053,317908,952,35,334.4,9.018,2.92
2023-05-03,12:45,37.5402,137.3053,326303,950,36,337.8,8.985,2.7
2023-05-03,13:00,37.5402,137.3053,334016,949,36,341.1,8.946,2.5
2023-05-03,13:20,37.5402,137.3053,340797,948,36,344.1,8.901,2.31
2023-05-03,13:30,37.5402,137.3053,346439,947,36,347.0,8.851,2.13
2023-05-03,13:45,37.5402,137.3053,350788,947,35,349.5,8.794,1.96
2023-05-03,14:00,37.5402,137.3053,353735,946,35,351.8,8.731,1.81
2023-05-03,14:20,37.5402,137.3053,355209,946,34,353.7,8.663,1.67
2023-05-03,14:30,37.5402,137.3053,355166,946,33,355.2,8.59,1.54
2023-05-03,14:45,37.5402,137.3053,353580,945,32,356.4,8.514,1.43
2023-05-03,15:00,37.5402,137.3053,350069,945,31,357.1,8.433,1.34
2023-05-03,15:20,37.5402,137.3053,344868,945,30,357.5,8.348,1.26
